101.2 Anniston-Calhoun County, AL
105.1 Akron, OH
108.7 Albany, GA
105 Albany, NY
96 Alexandria, LA
89.9 Amarillo, TX
105.5 Americus, GA
93.7 Ames, IA
134.5 Anchorage, AK
103.4 Anderson, SC
93 Appleton, WI
92.9 Ardmore, OK
94.4 Arlington, TX
104.6 Asheville, NC
100.7 Ashland, OH
96.2 Atlanta, GA
104.6 Auburn-Opelika, AL
106 Augusta-Aiken, GA-SC
89.3 Austin, TX
107.6 Bakersfield, CA
110.8 Baltimore, MD
100.4 Baton Rouge, LA
106.9 Beaufort, SC
87.1 Beaumont, TX
114.9 Bellingham, WA
112.1 Bergen-Passaic, NJ
108.5 Bethesda-Gaithersburg-Frederick, MD
92.4 Binghamton, NY
93.5 Birmingham, AL
105.9 Bismarck-Mandan, ND
91.5 Blacksburg, VA
98.5 Boise, ID
116.7 Boston, MA
93.3 Bowling Green, KY
107.3 Bozeman, MT
106.6 Bradenton, FL
87.9 Brazoria County, TX
88.6 Brownsville, TX
91.8 Buffalo, NY
93.8 Burlington, IA
98.6 Burlington, NC
112.9 Burlington-Chittenden, Co, VT
103.4 Camden, SC
107.9 Cape Coral-Fort Myers, FL
102.6 Carlsbad, NM
102.5 Cedar,City, UT
94.8 Cedar Rapids, IA
98.5 Champaign-Urbana, IL
100.9 Chapel Hill, NC
88.8 Charleston, WV
105.7 Charleston-N, Charleston, SC
97.1 Charlotte, NC
101.2 Charlottesville, VA
97.4 Chattanooga, TN
101.7 Cheyenne, WY
111.2 Chicago, IL
96.4 Cincinnati, OH
95.2 Clarksburg, WV
87.9 Clarksville, TN
108.1 Cleveland, OH
101.6 Cleveland, TN
95.4 Colorado Springs, CO
92.6 Columbia, MO
105.2 Columbia, SC
91.6 Columbus, OH
89.4 Conroe, TX
97.9 Conway, AR
86.7 Cookeville, TN
82.4 Corpus, Christi, TX
86 Covington, KY
96.2 Dallas, TX
94.6 Danville, IL
111.7 Dare County, NC
98.7 Davenport-Moline-Rock, Is, IA-IL
89.2 Dayton, OH
89.1 Decatur, IL
98.5 Decatur-Hartselle, AL
101 Denver, CO
90.9 Des Moines, IA
92.7 Detroit, MI
90 Dodge City, KS
100.3 Dothan, AL
104.1 Douglas, GA
110.4 Dover, DE
98.1 Dubuque, IA
97.9 Durham, NC
109.8 Dutchess, County, NY
93.4 Dyersburg, TN
97.6 Eau Claire, WI
88.7 Edmond, OK
99.9 El Paso, TX
91.4 Elkhart-Goshen, IN
103.5 Enid, OK
96.4 Erie, PA
93.8 Eugene, OR
97.9 Evansville, IN
112 Everett, WA
127.9 Fairbanks, AK
99.8 Fargo-Moorhead, ND-MN
101.8 Farmington, NM
95.3 Fayetteville, AR
105.1 Fayetteville, NC
102.3 Findlay, OH
99.3 Fitchburg-Leominster, MA
106.6 Flagstaff, AZ
96.6 Florence, AL
112.5 Fort Lauderdale, FL
92.5 Fort Smith, AR
93.3 Fort Wayne-Allen, County, IN
89.8 Fort Worth, TX
109.4 Framingham-Natick, MA
115.8 Fresno, CA
106.3 Gainesville, FL
99.7 Galesburg, IL
91.2 Garden City, KS
105.4 Glens Falls, NY
103.3 Glenwood Springs, CO
101.9 Grand Junction, CO
102.7 Grand Rapids, MI
88.8 Green Bay, WI
105.9 Greenville, NC
102.7 Greenville, SC
110.6 Gunnison, CO
99 Hammond, LA
106.6 Hampton Roads-SE, Virginia, VA
81.5 Harlingen, TX
97.8 Harrisburg, PA
97.5 Harrisonburg, VA
120.7 Hartford, CT
103.7 Hastings, NE
100.5 Hattiesburg, MS
92 Hays, KS
101.1 Hickory, NC
111.4 Hilton Head Island, SC
160.1 Honolulu, HI
97.3 Hot Springs, AR
85.1 Houston, TX
94.9 Huntsville, AL
89 Hutchinson, KS
99.5 Idaho Falls, ID
99.7 Indiana, County, PA
91.4 Indianapolis, IN
94.9 Iowa, City, IA
102.9 Ithaca, NY
93 Jackson, MS
91.1 Jackson-Madison County, TN
